FFMC,DMC,DC,ISI,temperature,humidity,wind,rain
86.6,257.02,446.8,1.7,34.58,92.87,8.19,6.04
88.7,229.27,323.2,0.62,15.42,76.1,2.99,1.74
69.4,266.89,565.0,1.14,19.81,38.46,5.48,5.1
54.5,267.78,118.3,0.3,15.55,78.33,1.43,2.57
29.4,54.93,485.7,1.54,15.62,33.22,7.4,4.58
48.9,49.14,162.0,1.52,32.96,55.23,7.33,5.58
28.6,272.59,701.3,0.94,16.65,94.76,4.53,4.22
50.2,118.13,631.2,1.47,25.13,78.31,7.07,2.98
28.9,121.91,248.3,0.68,26.6,40.92,3.25,1.87
19.9,199.66,525.5,0.24,27.77,37.2,1.14,4.93
75.0,209.41,115.0,0.55,37.06,98.9,2.64,1.96
95.6,238.86,499.5,0.31,23.91,90.25,1.48,1.86
89.0,171.41,480.1,0.58,22.27,41.67,2.81,5.57
51.9,201.0,539.3,1.9,21.36,86.23,9.14,5.71
21.4,79.93,176.1,1.11,39.91,75.98,5.34,3.15
48.6,232.54,603.5,0.86,34.78,52.32,4.15,2.69
18.8,216.87,573.9,0.94,37.0,90.66,4.5,1.36
79.0,271.06,485.1,1.28,37.54,59.49,6.15,1.57
72.5,259.07,78.3,0.46,33.65,47.79,2.21,0.57
18.9,45.45,800.5,1.87,27.13,36.84,9.01,1.51
19.6,94.23,785.9,1.49,27.75,73.09,7.14,0.83
46.3,210.36,538.0,0.19,38.94,90.0,0.89,3.56
23.5,3.85,663.5,0.57,13.59,85.95,2.76,5.6
39.6,229.49,264.4,1.2,32.5,77.12,5.78,5.15
54.7,141.7,409.2,0.18,14.56,44.76,0.87,6.03
75.7,171.66,78.2,1.03,31.93,46.07,4.97,5.27
76.2,25.43,683.5,0.96,29.61,93.68,4.63,0.29
92.9,96.89,71.5,0.45,15.08,91.4,2.14,1.01
75.7,28.1,44.8,1.56,30.69,73.28,7.52,4.35
52.0,204.43,39.2,1.85,16.23,79.71,8.91,2.13
59.6,60.82,414.2,1.14,13.62,32.49,5.49,5.16
31.1,128.58,191.6,0.81,16.67,72.8,3.89,5.79
79.8,133.65,658.9,0.72,14.68,67.0,3.48,3.07
43.5,120.39,859.3,1.18,16.02,73.73,5.69,4.15
23.8,290.82,473.2,1.75,10.71,76.02,8.41,4.01
88.6,44.03,180.3,1.16,16.34,33.35,5.58,3.26
62.0,239.69,687.1,0.49,20.36,84.86,2.37,5.47
91.6,167.72,685.5,0.5,14.24,58.16,2.38,3.76
63.4,115.3,643.1,0.73,19.76,58.01,3.5,3.09
73.2,174.54,201.1,1.41,21.27,57.77,6.8,5.43
40.8,245.35,445.5,1.94,24.21,37.74,9.32,6.0
42.1,142.26,591.7,0.63,22.57,83.49,3.05,1.81
88.6,221.38,270.2,0.78,37.29,66.27,3.75,0.95
60.6,92.48,495.7,0.17,27.54,68.66,0.82,2.43
57.5,246.24,687.2,1.62,14.8,64.86,7.77,5.37
78.6,126.92,718.5,1.18,20.67,67.48,5.65,5.2
55.8,189.15,478.9,0.95,27.21,72.79,4.56,1.15
27.8,193.58,367.8,1.64,16.49,91.39,7.88,4.4
84.4,20.31,392.6,0.65,30.9,74.78,3.12,4.05
52.3,237.15,117.5,1.07,34.36,88.11,5.15,5.74
70.6,117.28,683.0,0.41,16.59,78.11,1.96,0.3
95.1,96.42,289.8,1.21,19.62,98.31,5.83,2.22
79.6,101.63,747.4,0.48,32.65,51.55,2.32,4.6
26.2,212.68,518.2,1.07,27.36,35.67,5.16,6.28
20.7,216.92,517.4,1.75,25.77,79.13,8.43,0.29
41.9,262.21,361.8,0.41,26.61,51.39,1.96,1.43
69.3,59.82,278.1,1.56,19.38,58.64,7.5,0.39
29.8,174.24,241.3,1.82,12.7,34.64,8.76,2.96
41.4,159.04,605.9,1.4,20.08,68.23,6.71,4.49
90.4,114.26,828.9,1.7,17.78,94.56,8.15,0.53
45.3,103.01,119.6,1.53,14.98,82.22,7.36,3.33
80.6,17.32,666.5,0.6,36.36,39.33,2.87,1.97
19.3,268.82,813.2,1.62,26.19,95.7,7.8,5.8
44.4,279.15,111.6,0.3,14.64,34.6,1.45,3.71
44.9,241.4,661.3,1.49,27.38,53.82,7.14,2.76
38.6,84.51,26.1,1.57,39.7,51.16,7.55,3.16
66.5,87.99,720.8,1.07,37.34,61.25,5.15,5.55
66.8,44.47,32.9,0.95,30.63,71.06,4.55,2.79
80.8,150.47,855.0,1.46,24.54,75.09,7.0,2.68
35.0,145.74,451.7,1.39,26.65,65.94,6.69,4.71
24.1,15.21,177.1,1.88,37.58,98.61,9.03,1.47
23.3,288.43,72.1,0.5,16.75,80.28,2.39,4.24
62.7,77.19,54.6,0.27,15.29,81.72,1.32,0.4
78.4,129.54,853.9,0.91,13.47,38.36,4.39,6.33
62.7,238.4,476.1,1.47,18.17,61.62,7.08,3.36
58.8,224.68,162.8,0.2,15.08,46.54,0.96,3.7
71.2,207.23,159.0,0.32,23.54,45.07,1.56,2.87
70.5,52.29,375.0,1.69,10.07,47.93,8.14,1.62
78.0,262.36,343.2,1.63,28.3,44.74,7.86,6.3
30.5,259.83,303.2,0.15,28.0,39.04,0.72,2.62
28.6,153.6,123.3,1.41,36.44,86.93,6.8,2.13
73.4,146.03,345.4,1.62,38.56,96.78,7.78,0.88
88.2,167.73,728.8,0.71,10.05,99.82,3.43,5.68
27.5,60.65,672.5,0.1,23.88,56.3,0.5,0.2
37.9,110.56,304.4,1.9,23.69,92.54,9.15,1.41
52.7,269.57,539.8,1.58,28.36,34.61,7.62,0.02
79.8,47.59,188.1,1.67,36.39,70.33,8.04,5.54
70.0,273.28,557.1,1.25,35.94,92.83,6.0,1.02
30.3,256.0,335.7,1.73,34.85,57.57,8.3,3.07
73.7,93.89,259.5,0.76,28.76,78.86,3.65,6.33
46.1,204.31,226.6,1.14,29.23,73.78,5.46,1.09
82.3,241.9,609.5,1.07,39.28,50.59,5.16,3.13
90.8,256.16,536.8,1.33,13.09,93.68,6.4,0.65
80.0,161.08,595.4,1.8,33.53,69.21,8.65,1.2
63.1,252.14,761.4,1.03,31.8,34.29,4.97,2.89
89.3,164.21,18.6,0.4,12.19,86.92,1.93,1.6
28.7,75.66,184.5,0.1,11.36,56.62,0.47,5.96
36.8,15.03,430.2,0.26,33.55,90.2,1.26,0.64
21.9,98.88,256.4,0.15,34.25,42.71,0.71,4.49
76.8,231.78,825.0,1.96,19.84,46.69,9.4,6.31
22.4,183.79,296.1,0.41,38.04,87.39,1.97,3.09
31.4,24.5,502.8,1.51,37.05,35.36,7.26,0.01
33.2,20.67,302.0,0.93,11.5,55.21,4.49,0.12
45.6,17.96,798.2,1.52,29.55,49.84,7.3,2.7
53.1,117.49,224.2,1.29,15.43,33.85,6.19,4.25
86.5,21.72,205.7,1.89,27.49,43.93,9.09,2.07
91.4,33.16,605.9,0.92,30.28,66.71,4.41,2.0
42.9,161.42,504.7,1.2,15.48,37.94,5.76,0.11
67.5,282.63,829.4,1.05,39.14,53.5,5.07,5.41
20.9,122.53,474.5,1.91,10.26,36.68,9.17,0.21
84.6,200.29,697.7,0.76,12.44,73.48,3.66,0.94
84.0,32.61,704.3,1.67,19.28,93.92,8.01,2.0
78.4,43.08,644.4,1.28,30.85,92.56,6.17,1.91
88.7,121.13,67.9,1.67,39.07,91.98,8.02,4.94
66.3,258.58,811.7,1.72,25.59,46.32,8.26,3.26
20.3,32.84,597.5,1.7,13.09,37.77,8.15,5.85
63.9,183.7,806.7,0.42,15.5,73.8,2.04,0.24
19.6,190.87,510.8,0.65,12.25,81.28,3.12,4.95
63.0,135.83,668.6,1.06,13.53,61.87,5.1,1.39
86.2,234.47,219.2,0.96,20.6,31.06,4.61,5.9
89.2,152.34,371.4,0.95,32.09,69.73,4.59,3.31
75.4,68.81,627.2,0.52,19.01,53.81,2.51,4.26
52.0,37.48,20.1,1.13,24.56,91.36,5.42,4.6
23.6,26.97,274.0,0.88,19.57,84.42,4.24,5.67
58.8,176.1,511.9,0.11,37.91,37.67,0.54,0.98
25.0,98.91,449.2,0.24,21.23,69.32,1.14,5.88
57.7,82.21,459.2,0.53,20.78,57.72,2.57,0.04
50.4,231.4,631.8,0.62,11.51,91.23,2.99,3.38
74.0,178.34,522.0,1.47,26.59,79.57,7.06,0.0
54.6,86.89,670.3,1.28,18.69,39.37,6.13,3.22
27.0,21.73,576.8,0.65,16.11,96.87,3.11,5.11
58.8,90.6,679.6,0.48,17.9,78.58,2.29,5.79
88.5,153.35,693.9,0.32,32.44,53.11,1.55,3.37
93.3,71.09,599.5,0.77,12.09,44.47,3.7,1.42
63.9,215.61,364.2,1.75,15.84,54.61,8.41,5.27
75.0,157.91,227.4,1.19,16.0,62.25,5.74,1.25
79.1,247.83,680.4,1.32,27.36,66.14,6.33,0.62
60.8,121.58,159.8,1.38,19.01,41.07,6.63,2.11
58.2,197.01,27.9,0.99,19.39,36.72,4.74,6.04
52.1,145.41,151.2,1.9,33.81,81.91,9.15,5.97
89.5,229.66,726.8,1.24,31.4,97.85,5.96,5.18
30.2,256.6,229.8,1.78,13.57,56.74,8.55,1.63
72.8,254.27,498.2,0.45,15.25,50.23,2.18,6.0
89.7,177.93,155.4,0.63,33.88,93.48,3.01,2.4
62.3,97.9,351.6,1.87,36.84,32.13,8.97,5.08
51.6,94.05,555.4,1.64,25.24,53.27,7.9,2.34
66.1,105.13,119.5,0.73,22.64,39.08,3.51,5.73
86.8,255.84,166.4,1.24,23.05,67.44,5.97,5.8
33.6,175.29,490.3,0.41,12.17,39.86,1.97,3.02
81.7,80.03,469.5,1.83,29.31,71.4,8.8,1.96
60.4,239.48,728.0,0.67,35.56,58.95,3.23,0.98
70.5,53.83,537.4,1.7,18.69,93.78,8.18,1.73
62.5,222.73,362.5,0.49,35.3,67.01,2.34,4.79
95.3,148.34,55.5,0.3,39.49,51.55,1.46,0.68
55.9,36.11,385.2,0.73,12.47,82.46,3.53,6.07
73.3,134.86,339.9,1.41,25.82,50.83,6.78,4.3
80.8,217.05,742.0,0.11,28.52,65.22,0.51,1.47
29.8,110.47,645.3,1.46,29.88,66.18,7.02,0.4
91.0,72.06,772.8,0.94,25.69,33.12,4.53,3.38
64.8,94.11,296.1,0.84,37.39,36.15,4.02,3.37
39.4,232.97,491.4,1.44,38.21,85.83,6.9,2.97
92.4,32.28,51.1,0.15,14.1,73.8,0.7,1.18
91.8,12.27,743.3,0.68,36.56,98.27,3.29,4.25
57.6,79.63,453.6,0.74,37.57,89.3,3.58,5.87
38.9,73.64,636.3,1.43,31.9,60.21,6.89,1.59
46.1,181.32,57.6,0.26,34.23,91.41,1.24,1.71
27.3,177.56,528.9,1.15,28.97,50.56,5.52,5.82
46.9,31.18,827.8,0.26,27.39,57.39,1.26,0.46
45.1,253.69,288.1,0.88,26.01,100.0,4.24,1.21
26.8,57.06,256.6,1.15,33.22,53.44,5.53,1.58
90.9,175.74,600.3,0.58,35.67,68.6,2.8,0.34
64.0,231.26,447.8,1.54,37.92,57.77,7.41,5.28
56.2,87.21,531.3,1.89,29.45,55.97,9.1,1.92
96.0,62.69,240.3,0.12,10.25,83.29,0.57,0.17
24.8,88.31,90.4,1.03,34.78,58.95,4.95,3.14
55.0,21.21,175.3,1.26,31.39,59.84,6.05,6.36
65.1,165.33,219.0,1.1,32.05,80.18,5.3,3.75
75.7,238.08,527.1,1.39,30.44,94.79,6.66,3.66
29.4,242.66,101.6,0.52,27.28,43.01,2.49,5.78
48.6,251.61,653.5,1.93,28.82,55.08,9.27,3.96
47.4,71.13,273.8,1.6,24.19,60.74,7.69,4.72
49.0,89.72,523.2,1.39,27.5,96.03,6.68,5.53
41.1,145.88,275.9,0.83,36.78,66.92,3.99,0.66
60.1,35.33,227.3,0.45,26.22,77.07,2.18,2.61
61.6,258.81,734.5,1.51,21.35,58.66,7.26,0.85
44.2,25.24,532.8,0.43,34.27,84.45,2.07,0.59
64.1,142.12,192.6,0.16,21.85,42.89,0.78,0.42
36.4,215.3,525.5,0.69,15.11,89.13,3.34,3.17
46.8,275.69,697.9,1.93,28.38,59.21,9.28,5.78
85.0,127.84,187.6,1.84,39.82,31.28,8.84,4.04
42.7,251.77,38.8,1.93,37.57,45.93,9.29,1.42
38.4,71.75,157.8,0.81,31.78,42.89,3.88,2.04
60.8,167.58,564.3,0.96,37.17,77.47,4.6,5.61
80.6,95.23,93.4,1.43,11.58,64.23,6.87,4.11
59.0,192.12,711.3,1.26,14.18,47.08,6.07,3.74
73.6,99.57,491.0,1.19,28.5,76.33,5.71,0.85
50.2,85.87,18.5,1.09,15.92,90.25,5.25,6.35
73.2,121.83,841.3,1.91,36.28,87.33,9.2,4.55
87.7,246.38,468.7,1.39,30.64,64.57,6.69,0.14
25.7,169.57,756.7,1.28,25.58,30.91,6.14,2.05
68.8,260.52,734.3,1.51,20.91,75.71,7.25,0.16
29.3,65.81,543.0,0.43,18.78,95.76,2.08,2.71
39.7,230.52,79.9,1.63,27.94,59.32,7.84,2.07
72.8,182.05,534.5,0.37,17.02,93.23,1.77,5.03
94.1,9.23,654.4,1.42,30.09,66.43,6.84,1.51
62.4,110.41,767.6,0.2,25.25,36.0,0.98,4.35
34.6,207.93,558.8,0.18,13.81,98.92,0.85,0.06
31.9,193.99,399.7,1.34,27.43,60.35,6.45,3.73
94.4,280.86,784.6,0.61,34.7,39.12,2.94,2.5
74.5,80.02,350.1,1.65,13.22,35.66,7.93,5.71
43.8,107.35,627.5,1.23,22.42,32.36,5.91,5.08
93.2,23.93,145.2,1.11,14.18,76.1,5.34,3.43
91.3,145.64,231.1,1.81,37.73,73.42,8.71,4.61
61.2,15.94,780.8,1.39,11.52,74.35,6.69,5.08
26.6,9.12,380.4,0.52,10.55,32.69,2.5,4.55
74.1,86.07,85.7,1.2,37.41,82.63,5.75,3.77
44.5,63.24,792.7,1.02,37.7,74.63,4.9,3.22
34.0,4.65,498.2,1.76,34.14,58.34,8.48,3.21
79.4,261.4,473.2,0.48,30.39,42.97,2.33,3.41
41.6,196.05,58.4,0.19,10.07,76.52,0.9,0.12
55.8,169.55,587.4,0.47,36.32,79.15,2.24,4.49
90.2,199.88,148.4,0.82,33.8,67.47,3.92,4.91
20.8,161.31,356.3,0.64,24.43,57.77,3.1,1.76
30.0,81.13,299.1,0.79,16.25,60.17,3.8,1.76
60.0,76.44,749.4,1.31,35.44,96.92,6.3,5.4
93.6,214.61,529.4,1.05,28.41,55.15,5.05,0.94
25.1,236.44,69.1,0.33,24.48,42.78,1.59,0.89
63.0,16.33,333.8,1.79,14.97,74.53,8.59,3.25
92.3,37.14,651.5,0.59,16.29,98.7,2.84,3.13
54.2,126.09,535.7,1.48,35.09,57.53,7.11,1.88
28.9,62.33,688.4,0.2,38.06,35.94,0.97,0.64
49.7,22.63,611.6,0.44,33.23,50.22,2.1,3.6
56.8,179.02,483.9,0.6,23.25,46.03,2.88,2.87
88.1,137.01,17.1,0.23,37.59,55.39,1.09,0.98
78.2,24.58,319.9,0.13,37.19,52.39,0.62,2.13
31.8,178.87,349.4,1.82,33.87,71.07,8.73,5.54
37.4,203.89,396.8,1.16,13.79,81.36,5.56,3.24
21.8,184.76,226.5,0.59,13.94,84.96,2.85,1.07
47.8,258.78,666.5,0.22,29.42,86.67,1.07,2.03
84.3,36.39,205.6,1.01,13.93,92.92,4.85,3.77
44.2,270.08,651.0,0.73,29.88,83.0,3.53,2.28
89.1,168.87,689.4,1.35,27.61,65.39,6.48,6.38
66.3,229.34,139.7,0.7,15.37,72.14,3.35,2.01
87.5,267.3,79.4,0.78,36.37,44.68,3.75,0.22
51.8,69.73,291.5,1.44,23.17,85.3,6.93,5.61
84.2,281.03,456.6,1.87,34.06,44.42,8.98,6.38
86.6,160.78,63.6,1.37,13.32,100.0,6.61,0.14
69.1,8.93,430.4,1.58,20.07,70.47,7.61,0.47
93.6,59.68,365.3,1.91,11.11,41.99,9.19,5.81
40.5,36.1,794.8,0.96,19.81,61.44,4.6,4.44
32.1,271.95,725.7,1.91,28.41,44.57,9.18,3.33
64.9,279.42,437.2,1.04,39.28,99.72,4.98,1.16
32.0,254.89,565.2,0.13,23.89,90.51,0.61,5.91
84.9,111.29,557.7,1.53,16.88,50.1,7.35,0.62
96.0,22.12,447.9,1.33,15.33,61.1,6.38,1.59
65.8,184.39,646.9,1.13,15.9,40.19,5.44,3.96
44.1,86.07,801.9,1.62,12.52,71.96,7.77,0.01
64.7,22.34,447.8,0.73,18.87,84.01,3.49,5.18
72.0,177.99,663.0,0.11,34.86,99.96,0.52,0.04
31.4,235.33,230.7,1.61,21.66,70.76,7.76,4.02
44.8,43.33,334.9,1.76,32.84,47.81,8.47,6.07
50.2,21.54,535.1,0.85,39.09,33.5,4.07,2.54
36.5,148.51,854.5,1.04,18.21,72.98,5.01,0.37
52.7,284.29,551.3,0.11,26.15,38.78,0.55,1.61
50.5,207.98,414.3,1.1,33.62,31.05,5.3,2.9
34.5,281.23,523.0,1.79,16.3,36.85,8.6,5.18
19.0,41.54,207.3,1.14,13.27,92.97,5.5,6.03
52.6,187.07,42.6,0.98,24.39,46.93,4.72,1.25
73.2,195.41,409.6,0.29,12.3,40.6,1.41,2.43
50.3,69.2,248.0,1.39,31.15,97.81,6.68,2.1
75.8,84.24,432.1,1.7,37.08,45.1,8.17,1.29
42.1,3.65,376.8,1.23,20.3,74.49,5.92,0.69
41.6,226.3,129.7,0.11,33.78,63.56,0.54,1.18
80.9,208.75,791.3,1.23,28.54,83.71,5.91,6.19
51.6,116.79,133.4,0.62,21.39,77.52,3.0,6.2
45.0,57.54,710.0,1.39,13.87,72.49,6.67,1.0
65.7,196.11,802.3,0.29,28.21,96.48,1.38,6.21
54.2,62.86,143.7,1.75,28.89,42.52,8.39,5.79
28.6,106.72,806.3,0.89,16.11,31.53,4.28,0.01
85.7,191.99,750.0,1.09,24.89,51.57,5.25,2.95
87.0,60.97,396.6,1.57,37.72,56.58,7.56,3.67
20.9,280.45,445.2,0.15,11.27,95.6,0.7,1.48
84.5,97.87,733.5,0.72,30.55,84.34,3.47,1.64
50.9,87.93,266.4,0.97,10.21,39.87,4.66,2.7
35.5,51.1,115.6,1.66,37.73,36.56,7.97,0.4
23.7,93.58,477.2,0.9,31.38,85.7,4.32,5.36
21.2,163.03,710.5,0.51,36.05,36.87,2.44,4.28
22.2,285.41,389.4,0.22,38.49,37.92,1.08,3.11
51.0,231.3,860.2,1.02,14.95,43.51,4.88,2.28
21.7,166.22,401.5,0.66,37.63,81.48,3.19,0.61
22.8,136.82,232.2,0.15,21.33,51.24,0.72,0.67
81.0,191.27,12.5,1.04,10.45,64.51,5.0,4.85
26.6,127.77,812.1,0.22,31.22,69.02,1.07,0.02
66.7,74.33,618.2,0.92,38.78,70.31,4.42,1.56
45.3,289.34,530.3,0.63,38.01,54.0,3.04,1.22
89.8,118.36,708.0,1.67,16.33,64.72,8.01,3.08
83.2,29.42,753.9,0.27,15.01,89.5,1.3,4.64
85.5,239.89,247.5,1.25,11.7,54.45,6.02,3.81
67.7,27.06,471.5,0.71,38.11,54.47,3.43,5.47
81.3,206.13,708.8,0.26,11.71,85.66,1.23,2.93
22.0,255.55,271.7,1.77,14.74,97.08,8.52,4.14
24.3,149.59,609.9,1.77,35.31,92.77,8.51,5.05
37.5,137.04,747.6,1.83,36.39,79.06,8.82,6.34
46.2,124.6,266.4,0.17,31.66,62.78,0.8,1.03
54.7,73.34,702.1,1.83,22.05,67.27,8.8,5.74
79.4,250.79,237.1,0.64,38.63,36.93,3.09,2.59
45.2,217.17,501.2,1.1,32.13,62.21,5.28,2.85
50.4,166.06,693.4,0.55,34.68,77.63,2.65,2.9
62.2,67.08,751.5,1.41,24.18,35.04,6.78,3.4
67.3,137.33,140.0,1.61,22.34,98.03,7.74,6.36
24.9,198.61,318.0,0.16,22.66,67.27,0.75,6.08
81.1,40.74,491.5,1.51,33.21,36.65,7.25,3.05
74.4,175.77,532.1,0.22,28.09,42.24,1.07,5.52
37.4,61.52,553.2,0.94,26.23,64.72,4.54,3.27
31.4,171.62,680.4,0.27,24.98,48.33,1.32,3.53
83.6,34.9,79.0,1.93,13.0,33.43,9.26,4.83
45.5,44.99,93.2,1.36,30.26,35.41,6.54,4.13
64.7,86.22,587.2,0.29,15.92,42.94,1.41,2.83
42.5,79.36,806.8,1.2,10.2,77.97,5.79,3.31
69.4,150.8,19.3,0.68,18.83,38.35,3.28,1.82
89.9,77.52,812.2,0.86,15.93,40.07,4.12,5.41
35.3,100.06,433.2,0.43,30.53,96.94,2.05,1.34
67.6,127.76,712.6,1.68,39.75,68.45,8.06,2.08
72.4,255.26,23.8,1.83,32.06,98.27,8.81,3.38
58.9,60.52,18.1,1.6,19.39,41.0,7.69,5.3
88.0,129.25,531.4,0.88,38.61,96.11,4.25,3.1
50.4,270.55,101.9,0.71,34.63,82.24,3.39,5.7
57.7,62.34,345.7,1.4,21.15,38.48,6.74,2.23
81.0,139.11,807.6,1.45,21.55,45.88,6.97,4.68
64.8,86.05,483.0,0.39,10.07,83.92,1.86,2.38
80.7,42.54,559.8,0.37,32.06,38.88,1.79,6.35
25.4,196.52,90.3,0.11,32.88,88.59,0.53,5.32
74.7,245.41,88.0,0.46,18.91,70.4,2.19,1.32
86.5,87.15,794.7,1.14,37.72,52.19,5.5,5.59
42.3,283.51,28.8,1.48,19.31,36.33,7.11,1.99
81.0,8.97,810.7,0.76,17.26,53.84,3.67,1.47
33.2,157.81,286.0,1.26,31.14,30.53,6.04,1.46
54.7,144.11,177.7,0.64,29.23,33.1,3.09,3.35
27.3,109.46,10.8,0.93,24.79,66.59,4.47,3.31
28.6,216.8,643.2,1.77,15.25,85.46,8.49,2.58
52.6,105.88,558.2,0.78,25.79,48.01,3.74,2.11
53.4,15.74,820.0,1.42,33.61,52.8,6.82,1.35
56.5,28.31,181.6,1.21,22.63,66.76,5.82,4.24
24.5,140.36,105.2,0.26,38.62,97.48,1.26,0.95
42.9,201.21,559.6,0.19,10.27,81.25,0.91,0.17
71.1,99.78,723.6,0.66,38.72,55.21,3.15,5.22
72.6,89.7,96.9,1.84,30.85,63.29,8.87,0.94
70.7,22.61,770.1,0.2,39.53,56.62,0.96,6.3
94.8,207.91,86.3,0.17,26.57,71.23,0.84,3.45
23.3,11.17,707.3,0.21,35.93,61.86,0.99,4.05
35.5,104.72,550.1,1.8,13.31,47.39,8.65,2.05
34.6,132.05,208.4,1.89,30.7,35.18,9.1,4.4
52.0,262.96,512.6,0.58,29.13,99.57,2.8,5.36
38.9,236.3,510.8,1.14,28.52,37.45,5.49,2.61
46.9,50.38,24.5,1.79,21.44,46.72,8.59,3.97
80.7,185.39,693.1,1.21,16.71,46.91,5.83,3.64
72.5,170.74,68.3,0.65,28.07,66.82,3.13,1.46
96.2,263.99,634.6,0.34,13.48,36.77,1.64,3.88
75.8,287.92,660.7,0.43,18.76,74.25,2.07,2.37
27.2,112.5,837.1,0.61,15.2,63.82,2.95,3.49
77.2,21.26,205.8,0.32,11.23,50.32,1.52,0.82
39.7,140.79,291.9,1.72,15.74,44.26,8.26,2.03
89.5,141.31,392.4,0.81,15.1,80.72,3.89,1.5
51.7,200.8,630.8,0.46,11.81,67.97,2.21,4.04
39.8,34.0,480.2,0.37,20.12,63.7,1.77,0.0
68.9,196.85,402.0,0.1,26.78,95.41,0.5,4.98
67.3,91.97,464.7,0.62,32.4,39.0,3.0,3.75
82.0,237.33,321.1,0.73,12.34,68.46,3.52,6.31
54.5,265.8,842.6,0.23,13.05,53.45,1.1,0.63
35.6,23.51,760.9,1.11,24.27,68.66,5.32,6.21
40.2,230.46,208.2,0.78,35.65,63.51,3.73,1.84
51.4,264.68,230.8,0.57,10.52,76.39,2.75,4.12
44.3,164.87,843.7,1.11,11.7,44.42,5.33,3.16
27.3,44.16,407.1,1.03,20.5,80.44,4.96,0.61
64.9,244.1,28.9,0.78,22.38,97.71,3.74,1.57
69.2,78.3,352.3,0.53,29.09,39.88,2.53,2.42
77.5,249.0,137.0,0.52,20.05,70.42,2.52,2.54
45.8,112.28,181.3,1.7,35.15,88.51,8.15,2.8
80.5,229.37,414.2,0.37,37.15,53.47,1.78,4.47
21.4,83.65,217.1,0.51,27.62,79.01,2.43,3.8
50.7,162.7,632.0,0.23,37.36,87.88,1.09,3.87
41.5,265.91,164.5,1.12,25.58,76.76,5.39,1.46
45.1,191.02,729.1,0.12,12.71,31.96,0.57,0.17
60.9,173.76,701.1,0.19,34.71,95.71,0.91,2.85
74.1,211.29,835.7,0.89,31.19,69.16,4.29,4.93
49.9,202.29,248.8,1.31,13.09,45.83,6.29,1.07
53.8,253.49,184.8,1.34,20.65,79.63,6.42,4.22
46.4,268.26,304.2,0.68,37.08,41.21,3.27,4.44
32.7,235.87,401.1,1.25,30.43,74.08,6.03,3.68
80.5,164.76,605.2,0.67,12.61,42.14,3.24,0.8
87.9,50.24,858.8,1.73,29.85,99.9,8.33,4.57
31.8,135.57,533.8,1.18,38.19,43.47,5.67,2.36
25.4,39.13,215.6,1.07,17.31,72.16,5.14,3.64
77.1,40.33,755.0,0.8,36.21,62.75,3.83,2.27
56.9,21.64,105.3,0.91,18.78,45.85,4.36,0.47
53.4,14.67,315.4,1.66,39.51,82.33,7.96,0.13
53.3,38.23,271.4,0.88,37.21,69.86,4.22,5.39
49.9,202.82,721.3,1.83,33.56,78.18,8.79,5.76
81.0,178.4,837.4,1.51,30.49,60.08,7.26,4.32
64.4,156.85,54.6,0.18,14.26,82.83,0.88,5.96
39.5,171.47,36.8,1.63,10.04,64.24,7.82,3.93
93.2,208.57,187.7,0.78,19.67,95.53,3.77,4.17
58.4,107.28,495.1,0.57,26.36,91.31,2.74,0.84
73.3,105.41,278.4,0.66,38.12,99.95,3.19,6.33
78.5,227.68,450.0,1.11,19.5,36.11,5.34,3.88
53.8,97.89,363.0,0.46,25.75,52.62,2.2,5.32
67.1,240.82,815.7,0.13,37.95,59.9,0.63,4.59
77.2,170.78,215.8,0.25,23.98,49.99,1.2,3.39
70.5,101.24,831.5,1.74,25.15,61.03,8.36,3.37
67.1,255.97,69.1,1.28,36.46,72.0,6.14,2.37
21.7,261.25,546.4,0.3,37.09,88.28,1.44,3.86
59.4,61.9,192.4,0.33,11.84,77.91,1.61,0.85
70.3,26.7,699.4,0.62,12.11,41.19,2.96,1.11
33.3,265.28,564.6,1.79,25.32,81.62,8.59,3.03
25.2,144.15,824.0,0.17,29.28,86.61,0.84,4.78
44.3,250.74,396.6,0.79,11.46,36.47,3.81,3.2
36.3,244.46,585.4,1.78,30.93,54.94,8.56,2.6
77.7,97.84,720.4,0.76,20.35,62.54,3.65,4.73
76.5,33.26,321.4,0.33,31.1,73.58,1.6,0.33
33.7,162.21,572.8,1.79,26.23,70.45,8.6,0.22
93.4,228.39,320.3,0.71,23.57,61.12,3.4,4.93
83.7,53.09,814.8,0.85,14.31,57.93,4.11,2.18
25.7,82.62,772.7,0.79,20.46,86.35,3.79,2.67
66.6,64.54,179.4,0.89,36.47,59.74,4.28,3.51
86.1,94.3,380.8,0.57,18.25,85.7,2.72,3.54
31.9,106.17,57.8,1.39,13.29,48.08,6.69,1.26
55.3,176.68,859.0,1.28,30.74,77.1,6.17,0.77
53.4,86.22,277.8,1.49,23.57,52.2,7.14,3.61
83.4,102.02,546.5,0.77,21.2,50.7,3.7,5.98
92.7,120.74,401.5,0.12,33.48,61.34,0.56,0.35
33.8,12.94,231.6,1.94,31.97,64.61,9.33,3.47
80.8,194.52,622.4,1.04,30.85,33.16,5.0,1.01
39.2,52.45,558.9,0.17,11.74,55.54,0.8,3.12
41.8,124.46,426.6,0.68,11.04,76.27,3.28,5.78
47.2,55.78,185.1,0.95,35.41,80.32,4.58,6.04
45.1,153.72,55.3,0.24,11.23,44.07,1.15,5.71
